"date","X0.A.9","X10.A.19","X20.A.24","X25.A.29","X30.A.34","X35.A.39","X40.A.45","X45.A.49","X50.A.54","X55.A.59","X60.A.64","X65.A.69","X70.A.74","X75.A.79","X80.A.84","X85.A.89","X90.E.MAIS"
2020-03-13,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
2020-03-15,0,0,0,0,1,2,0,0,2,1,0,0,0,1,0,0,0
2020-03-16,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1
2020-03-19,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2020-03-22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-23,1,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0
2020-03-24,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2020-03-26,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0
2020-03-29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-03-31,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2020-04-01,0,0,0,1,0,2,3,1,0,0,1,0,0,0,0,0,1
2020-04-02,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0
2020-04-05,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
2020-04-06,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
2020-04-09,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
2020-04-11,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
2020-04-13,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
2020-04-19,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
2020-04-20,1,0,0,2,2,2,0,2,1,0,1,0,0,0,0,0,0
2020-04-22,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
2020-04-24,1,0,1,0,0,2,6,3,3,0,0,1,0,0,0,0,0
2020-04-25,1,0,0,1,0,3,2,0,0,1,2,0,0,0,0,0,0
2020-04-26,1,0,0,0,1,0,4,2,1,0,2,0,0,1,0,0,0
2020-04-27,1,0,1,0,2,3,1,2,0,1,1,0,1,1,0,1,1
2020-04-28,0,0,1,0,1,1,2,2,0,1,1,0,0,1,0,0,0
2020-04-29,1,0,1,2,0,0,0,2,1,2,0,0,1,0,0,0,0
2020-04-30,1,1,3,2,4,2,1,0,0,2,0,0,0,0,0,0,1
2020-05-01,1,1,5,9,6,13,5,8,8,2,4,1,0,0,0,0,0
2020-05-02,2,0,2,3,3,0,3,1,0,2,2,0,1,0,0,0,1
2020-05-03,1,0,6,3,1,4,4,1,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,2,2,0,1,3,1,1,0,1,0,0,0,0,1,0
2020-05-05,1,2,1,2,1,0,3,1,2,3,0,0,1,0,0,0,0
2020-05-06,1,1,1,1,2,1,4,3,3,1,0,4,1,0,0,0,0
2020-05-07,0,0,0,1,2,0,0,0,1,1,1,1,0,0,0,0,1
2020-05-08,0,1,5,3,2,3,1,2,3,1,2,0,0,0,0,0,0
2020-05-09,1,0,2,1,3,1,3,1,1,1,1,0,0,0,0,0,1
2020-05-10,1,0,2,1,2,5,6,3,2,1,0,2,0,0,0,1,0
2020-05-11,0,0,1,3,1,4,2,1,1,0,0,1,1,0,0,0,0
2020-05-12,2,0,4,1,2,1,1,1,0,0,1,2,0,0,0,0,1
2020-05-13,1,1,2,1,4,4,1,1,1,0,0,0,1,0,0,0,0
2020-05-14,0,0,0,2,1,1,2,0,1,1,0,0,0,0,0,0,0
2020-05-15,1,0,3,5,2,1,3,1,3,0,2,2,2,1,1,0,0
2020-05-16,0,0,1,2,1,4,0,1,2,1,0,1,0,0,0,0,0
2020-05-17,0,0,1,4,2,4,7,1,0,0,0,3,0,0,1,0,1
2020-05-18,1,2,0,3,4,0,3,2,2,4,1,2,1,0,1,2,0
2020-05-19,0,0,2,1,1,2,1,2,1,2,1,1,0,0,0,0,0
2020-05-20,0,2,2,3,3,4,2,6,1,4,3,2,1,1,0,0,0
2020-05-21,1,1,2,2,7,3,0,0,3,2,1,1,2,0,0,0,1
2020-05-22,0,0,5,4,6,5,4,3,2,2,0,1,0,0,0,0,0
2020-05-23,0,1,3,3,1,2,3,2,4,1,1,4,0,0,1,1,0
2020-05-24,0,0,1,1,4,4,5,0,0,0,0,1,1,2,0,0,0
2020-05-25,0,0,1,6,3,2,4,1,6,3,4,1,0,3,0,0,0
2020-05-26,0,2,2,4,6,6,5,2,1,1,1,3,1,0,0,0,0
2020-05-27,1,0,3,2,0,7,3,2,2,0,2,1,0,2,0,1,0
2020-05-28,0,1,1,1,2,4,7,3,4,1,3,2,1,0,0,0,1
2020-05-29,0,0,1,2,1,7,3,2,0,2,3,1,2,0,1,0,1
2020-05-30,1,2,1,3,5,6,8,1,1,2,1,0,2,2,0,1,0
2020-05-31,0,0,1,5,6,2,7,1,5,6,4,4,0,0,0,0,0
2020-06-01,2,4,5,5,9,11,9,7,12,6,3,3,5,3,3,0,1
2020-06-02,2,1,0,4,10,10,6,0,7,9,2,1,3,2,2,1,3
2020-06-03,0,3,4,4,7,5,14,4,8,4,6,2,2,6,0,1,0
2020-06-04,1,3,2,10,7,7,8,7,2,3,8,1,3,0,1,0,0
2020-06-05,1,4,4,4,14,11,13,4,10,4,7,4,3,2,2,0,0
2020-06-06,2,0,3,8,11,9,6,5,3,4,4,2,1,1,0,1,4
2020-06-07,1,1,6,7,6,8,9,3,8,9,4,2,2,2,1,0,0
2020-06-08,3,1,8,8,10,8,13,4,6,7,3,4,1,0,0,2,1
2020-06-09,2,0,2,8,9,8,12,4,6,9,3,2,5,0,0,1,0
2020-06-10,1,3,8,15,15,12,11,6,7,4,6,6,3,3,3,1,4
2020-06-11,1,2,2,6,8,9,10,4,5,8,8,2,1,1,2,1,0
2020-06-12,0,3,3,16,13,7,9,4,2,5,11,2,3,4,0,2,0
2020-06-13,1,4,3,4,10,11,8,4,5,5,2,2,5,0,0,1,0
2020-06-14,1,1,6,8,10,11,4,5,8,5,3,1,1,1,0,0,1
2020-06-15,0,4,12,11,13,10,16,5,6,7,11,6,2,1,2,1,1
2020-06-16,1,8,7,9,6,9,10,7,5,3,4,7,2,0,2,2,0
2020-06-17,4,4,1,8,9,8,7,7,3,7,4,7,0,2,2,4,2
2020-06-18,1,6,7,10,9,16,13,4,6,5,7,7,3,0,0,0,0
2020-06-19,2,5,9,7,9,10,10,6,7,6,9,3,2,1,0,0,0
2020-06-20,1,8,8,6,12,8,11,9,11,5,8,3,3,5,2,1,1
2020-06-21,0,6,7,9,11,13,10,4,6,3,2,4,2,2,0,1,1
2020-06-22,0,2,7,13,20,20,14,8,13,6,10,7,4,4,2,0,0
2020-06-23,6,4,7,19,9,15,14,7,6,5,5,4,2,2,2,2,2
2020-06-24,0,2,9,11,16,17,16,10,7,7,4,3,2,2,2,1,3
2020-06-25,0,1,5,13,17,17,21,14,14,12,7,7,6,0,1,0,2
2020-06-26,2,1,12,20,13,18,13,12,11,12,9,5,6,1,2,1,0
2020-06-27,0,2,8,14,12,22,26,9,9,10,13,9,6,1,1,2,1
2020-06-28,2,3,9,18,19,18,14,12,8,12,5,6,2,2,1,0,0
2020-06-29,3,6,12,9,28,27,26,13,13,12,16,3,10,2,1,3,5
2020-06-30,3,5,21,18,23,20,11,6,20,14,6,10,4,4,2,1,2
2020-07-01,5,10,10,14,24,27,24,20,24,22,10,9,2,4,1,1,2
2020-07-02,4,5,10,21,21,31,23,14,13,9,9,5,3,1,1,2,0
2020-07-03,4,10,11,18,33,26,24,16,14,14,11,8,3,4,4,1,1
2020-07-04,5,8,12,17,25,24,24,11,19,15,8,9,2,2,1,2,5
2020-07-05,3,5,15,26,24,19,18,12,13,16,9,7,6,3,1,1,0
2020-07-06,10,15,19,20,31,32,29,17,19,21,12,9,7,3,1,2,0
2020-07-07,4,8,21,23,26,23,29,17,19,17,8,13,9,5,2,2,1
2020-07-08,7,11,23,18,23,16,30,18,14,12,6,10,5,7,1,1,3
2020-07-09,3,9,14,14,18,27,26,21,16,19,11,12,5,3,1,0,2
2020-07-10,5,14,21,32,29,33,34,20,20,15,8,13,5,4,2,1,0
2020-07-11,1,14,18,31,27,30,29,18,15,20,11,8,6,5,3,2,1
2020-07-12,1,12,27,27,30,24,30,19,17,16,10,10,7,2,2,1,3
2020-07-13,6,22,26,40,43,39,48,19,24,18,13,12,3,2,4,4,2
2020-07-14,11,17,17,31,32,30,35,23,18,22,8,7,5,3,4,0,1
2020-07-15,13,18,22,23,32,40,29,17,13,26,19,8,9,3,3,0,2
2020-07-16,12,10,31,36,32,36,18,15,26,14,12,11,7,7,4,1,2
2020-07-17,14,19,18,32,33,38,46,20,23,16,18,9,4,4,3,5,5
2020-07-18,4,10,21,23,37,24,37,19,24,18,17,3,1,6,3,0,0
2020-07-19,8,7,15,32,22,27,25,11,14,27,9,9,5,2,3,3,4
2020-07-20,9,22,35,43,38,48,39,32,36,16,22,12,5,7,7,1,3
2020-07-21,9,17,26,22,31,28,33,23,15,20,7,6,2,4,0,1,2
2020-07-22,10,24,25,27,44,36,27,18,21,26,16,11,5,6,1,1,1
2020-07-23,10,21,27,18,28,21,28,21,21,18,14,8,7,7,5,3,4
2020-07-24,12,14,20,36,31,28,52,26,25,18,9,14,5,3,2,3,4
2020-07-25,9,9,30,33,23,28,31,21,13,17,12,5,9,5,4,1,3
2020-07-26,7,10,21,24,30,26,35,12,18,18,11,11,2,1,0,3,2
2020-07-27,14,23,27,37,48,33,42,29,33,26,17,9,14,4,4,2,2
2020-07-28,8,11,18,22,34,22,30,18,20,19,18,7,5,5,1,3,3
2020-07-29,10,14,16,25,26,30,25,15,12,9,10,8,4,6,5,1,0
2020-07-30,4,15,14,17,26,26,25,12,14,15,9,6,5,3,4,0,1
2020-07-31,6,11,15,25,25,32,40,13,22,9,21,9,4,2,1,2,0
2020-08-01,7,16,23,16,25,21,34,17,22,18,15,8,7,7,3,0,2
2020-08-02,2,7,20,18,14,22,27,9,20,14,4,11,6,4,2,1,0
2020-08-03,6,14,22,25,29,32,35,17,17,20,16,8,6,5,1,1,0
2020-08-04,4,12,17,21,20,19,24,14,13,11,7,5,7,7,4,1,2
2020-08-05,7,19,26,19,20,31,21,17,17,24,11,6,8,4,9,4,1
2020-08-06,7,11,18,21,15,13,31,11,23,12,16,10,6,11,7,5,3
2020-08-07,8,18,15,17,33,23,24,16,18,13,12,12,12,6,1,1,2
2020-08-08,6,10,11,22,25,15,18,11,11,13,6,4,8,5,2,2,1
2020-08-09,3,16,24,30,29,26,22,21,18,14,10,10,8,3,5,2,1
2020-08-10,11,22,28,36,37,34,42,19,23,30,16,13,10,8,6,3,3
2020-08-11,8,13,28,21,25,24,32,8,15,11,10,10,6,3,1,2,1
2020-08-12,9,24,23,30,18,18,34,21,17,17,16,9,4,3,2,4,2
2020-08-13,7,14,25,17,26,22,30,26,15,17,12,6,7,7,2,1,1
2020-08-14,12,23,25,16,30,32,35,15,16,21,15,8,5,7,1,3,5
2020-08-15,4,10,23,23,29,38,22,15,21,16,11,12,11,8,5,2,2
2020-08-16,3,11,23,18,26,21,19,15,18,14,6,5,6,4,6,2,2
2020-08-17,8,17,16,28,25,30,30,17,31,24,12,17,6,4,5,0,2
2020-08-18,4,11,18,19,24,28,18,18,11,14,10,4,3,4,0,2,4
2020-08-19,4,14,11,18,25,17,21,10,22,14,13,12,6,3,5,1,4
2020-08-20,8,10,14,25,29,25,17,18,12,13,13,8,7,4,6,2,4
2020-08-21,11,20,22,24,20,18,30,13,14,14,8,13,3,3,8,1,0
2020-08-22,6,9,12,16,21,24,19,9,15,8,6,2,4,4,2,1,6
2020-08-23,1,10,14,21,17,21,23,6,11,13,8,11,4,2,0,1,1
2020-08-24,10,12,16,16,39,20,35,11,21,14,11,8,9,6,2,2,2
2020-08-25,4,18,19,19,20,12,23,15,17,11,9,6,8,3,5,1,1
2020-08-26,5,11,18,13,5,21,23,15,8,6,9,7,7,3,1,0,2
2020-08-27,2,6,7,17,14,23,29,8,13,10,8,6,3,6,4,0,1
2020-08-28,7,14,20,18,22,21,28,15,15,6,8,5,0,3,2,1,1
2020-08-29,2,6,10,18,15,16,12,7,12,11,8,2,1,2,0,1,0
2020-08-30,9,14,12,15,22,17,20,4,11,12,1,5,5,4,2,0,2
2020-08-31,6,14,16,15,23,30,34,8,20,8,11,6,4,3,1,1,4
2020-09-01,2,24,14,13,19,21,25,14,20,4,9,10,3,2,4,1,3
2020-09-02,3,10,14,19,19,15,14,13,19,13,5,9,2,5,1,3,4
2020-09-03,1,5,8,16,18,18,19,8,12,10,7,3,6,5,7,3,5
2020-09-04,8,11,12,18,17,23,20,16,14,10,5,8,4,2,4,0,1
2020-09-05,3,8,12,17,15,14,24,15,15,13,7,5,5,3,0,1,0
2020-09-06,1,6,10,23,15,12,13,9,7,5,13,6,7,1,1,2,1
2020-09-07,4,4,12,11,17,7,16,9,4,13,8,5,3,3,6,2,4
2020-09-08,4,17,12,16,15,14,23,13,14,6,8,8,2,1,7,1,3
2020-09-09,3,15,8,13,14,15,14,11,12,16,12,2,3,4,3,3,6
2020-09-10,6,7,8,19,15,28,26,10,15,15,9,4,4,6,1,1,2
2020-09-11,2,15,14,17,19,17,13,10,8,10,5,3,3,2,3,1,3
2020-09-12,4,10,14,15,17,19,15,10,12,9,4,5,6,2,2,0,1
2020-09-13,3,5,7,12,19,16,28,8,12,10,3,8,2,0,0,0,4
2020-09-14,7,12,16,22,17,17,23,12,16,13,11,7,5,4,2,2,4
2020-09-15,1,7,10,24,13,17,19,12,10,8,10,6,4,2,2,2,3
2020-09-16,3,8,14,20,14,18,15,7,9,12,8,6,3,3,1,0,0
2020-09-17,6,2,8,17,29,15,15,12,12,10,12,5,1,1,3,1,2
2020-09-18,6,11,15,12,16,22,27,9,9,13,7,2,6,3,2,3,3
2020-09-19,3,10,16,13,18,17,22,12,6,12,10,2,0,1,0,0,0
2020-09-20,3,12,14,21,22,18,17,6,10,5,9,5,7,6,5,0,1
2020-09-21,3,11,15,22,36,28,24,11,13,14,7,15,0,9,2,2,2
2020-09-22,2,18,17,10,17,21,17,10,17,10,4,5,3,3,2,1,2
2020-09-23,6,11,16,24,21,12,22,11,17,10,10,8,3,2,3,0,4
2020-09-24,6,16,12,11,16,16,23,8,6,7,6,5,1,6,1,3,3
2020-09-25,1,11,10,20,21,24,15,11,17,17,9,2,3,2,0,1,2
2020-09-26,7,9,11,16,14,17,12,6,16,7,4,2,2,2,4,1,1
2020-09-27,3,6,6,20,11,17,13,8,7,8,5,5,1,4,0,1,2
2020-09-28,6,11,18,21,15,17,16,11,11,9,6,3,2,2,4,0,0
2020-09-29,3,13,10,14,14,14,11,9,8,5,3,6,1,1,1,3,1
2020-09-30,5,11,9,11,13,11,13,3,9,9,8,4,5,1,1,3,3
2020-10-01,1,3,8,16,17,18,19,16,12,14,5,6,0,1,3,2,1
2020-10-02,3,4,10,18,9,10,20,10,9,4,3,2,2,6,2,2,0
2020-10-03,7,9,10,16,12,14,5,7,14,8,11,5,3,5,2,0,1
2020-10-04,1,2,6,16,7,15,11,6,10,6,1,6,3,3,1,0,4
2020-10-05,6,6,19,14,14,12,25,9,7,15,5,1,3,4,3,3,0
2020-10-06,6,8,8,16,7,12,11,9,8,10,1,2,2,0,1,2,0
2020-10-07,4,6,7,12,14,15,15,14,9,5,4,4,4,3,3,0,1
2020-10-08,0,11,12,7,11,15,14,7,14,7,8,2,2,0,2,2,2
2020-10-09,5,2,9,11,22,13,13,9,16,8,5,5,2,3,1,1,2
2020-10-10,2,5,8,18,16,9,13,8,13,3,5,8,3,3,1,0,1
2020-10-11,4,6,11,9,15,11,14,9,6,8,3,4,3,2,2,0,1
2020-10-12,7,10,15,12,14,16,17,9,10,9,6,11,1,3,1,2,2
2020-10-13,3,7,9,16,12,15,16,9,10,6,6,5,6,1,1,1,4
2020-10-14,5,8,5,17,19,14,15,7,11,8,5,6,1,3,1,1,1
2020-10-15,2,6,10,16,15,16,13,6,12,10,6,5,3,7,3,2,1
2020-10-16,4,11,7,16,17,13,7,5,6,9,4,4,3,0,3,3,0
2020-10-17,4,8,9,11,11,10,15,7,9,9,4,2,6,2,0,0,3
2020-10-18,1,4,10,9,14,8,12,7,4,1,2,2,0,3,4,0,0
2020-10-19,6,12,5,19,16,12,17,6,13,8,4,4,3,1,0,0,1
2020-10-20,1,5,9,12,12,12,14,10,9,7,5,4,3,1,4,1,0
2020-10-21,0,2,8,8,9,19,5,7,7,4,3,7,1,1,0,1,2
2020-10-22,2,2,9,9,11,9,12,8,6,4,6,4,3,2,2,1,0
2020-10-23,4,3,6,4,15,15,9,4,3,5,5,1,2,0,1,1,0
2020-10-24,2,4,4,11,11,7,9,6,6,5,2,3,0,2,0,1,0
2020-10-25,1,4,10,7,10,11,10,7,6,5,5,4,1,1,0,0,0
2020-10-26,2,4,10,10,9,11,15,8,6,2,3,1,4,0,1,0,4
2020-10-27,5,6,7,6,21,9,6,1,0,3,1,1,1,4,2,1,2
2020-10-28,1,7,6,10,4,13,15,3,2,3,3,1,2,2,0,0,1
2020-10-29,2,5,4,5,10,7,5,5,2,5,2,3,3,1,2,1,1
2020-10-30,2,2,6,8,8,8,6,5,1,6,3,4,2,3,0,0,0
2020-10-31,0,6,5,3,15,11,7,3,8,8,1,1,1,1,0,0,0
2020-11-01,2,1,2,7,9,13,7,7,6,2,6,4,1,1,2,0,0
2020-11-02,3,6,9,12,9,10,8,9,4,7,9,5,2,0,0,2,1
2020-11-03,2,5,8,9,14,9,12,9,6,6,9,0,4,0,1,2,1
2020-11-04,2,5,6,5,8,8,9,7,4,4,4,5,3,1,2,1,1
