Grade,Received vaccine from government ,Target population,Doses,Laboratório,Apresentação,Lotes,Day of D1 
1ª Grade,2021-01-20,"* Health workers (according to risk stratum), elderly and institutionalized disabled",7800,Coronavac,Monodose,202010033 e 202010029,2021-01-21
2ª Grade,2021-01-26,"* Complementation of Health Workers (according to stratum), elderly and institutionalized disableddores da saúde  (segundo estrato), idosos e deficientes institucionalizados",6900,Astrazeneca ,Multidose,4120Z004,2021-01-29
3ª Grade,2021-02-02,* Elderly aged 90 years or over  - 100% of target population (2510 doses),2960,Coronavac,Multidose,200278,2021-02-08
4ª Grade,2021-02-09,* D1-  85 to 89 years - 88% of target ( 3031 doses),10831,Coronavac,Monodose,202010024,2021-02-12
5ª Grade,2021-02-26, *D1  80 to 84 years-  78% of target (5374),5770,Astrazeneca ,Multidose,4120Z001,2021-03-01
6ª Grade,2021-03-01,* D1  de 77 to 79 anos 37% of the target (2010 doses),4970,Coronavac,Multidose,210046  210011A,2021-03-03
9ª Grade,2021-03-12,* D1  77 to 79  years  14%of the target population  (760 doses)                                      *D1 to 90% of the target from 75 to 76 years ( 4620 doses),5380,Coronavac,Multidose,210058,2021-03-15
10º Grade,2021-03-17,*D1    75to 76 yars  10% od the remaining target (512)                                          D1  72 to 74 years  ( 8688 doses),"10,720",Coronavac,Multidose,210062,2021-03-22
11º Grade,2021-03-22, *D1  from 69 to 71 years 100% ( 10.590 doses),"16,010",Coronavac,Multidose,210079,2021-03-25
12º Grade,2021-03-31, *D1 68 years  100% (3.650),"8,770",Coronavac,Multidose,210098,2021-04-01
14º Grade,2021-04-09,*D1  67 years,"4,040",Astrazeneca ,Multidose             5 doses,213VCD002W,2021-04-10
15º Grade,2021-04-17,  * D1  65and  66  target 100% (9100),"16,000",Astrazeneca ,Multidose             5 doses,213VCD008W e 213VCD009W,2021-04-19