Município1,Código Município IBGE,População estimada (2020),UF1,day.of.week,date,Média de Índice De Isolamento..
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-10-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-09-05,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-08-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-07-05,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-06-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-05-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-04-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-03-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-02-05,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-01-05,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-30-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-29-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-28-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-27-04,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-26-04,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-25-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-24-04,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-23-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-22-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-21-04,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-20-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-19-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-18-04,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-17-04,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-16-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-15-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-14-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-13-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-12-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-11-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-10-04,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-09-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-08-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-07-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-06-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-05-04,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-04-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-03-04,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-02-04,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-01-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-31-03,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-30-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-29-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-28-03,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-27-03,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-26-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-25-03,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-24-03,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-23-03,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-22-03,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-21-03,0.56
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-20-03,0.52
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-19-03,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-18-03,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-17-03,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-16-03,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-15-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-14-03,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-13-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-12-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-11-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-10-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-09-03,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-08-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-07-03,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-06-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-05-03,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-04-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-03-03,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-02-03,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-01-03,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-28-02,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-27-02,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-26-02,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-25-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-24-02,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-23-02,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-22-02,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-21-02,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-20-02,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-19-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-18-02,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-17-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-16-02,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-15-02,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-14-02,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-13-02,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-12-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-11-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-10-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-09-02,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-08-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-07-02,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-06-02,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-05-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-04-02,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-03-02,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-02-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-01-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-31-01,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-30-01,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-29-01,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-28-01,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-27-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-26-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-25-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-24-01,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-23-01,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-22-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-21-01,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-20-01,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-19-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-18-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-17-01,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-16-01,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-15-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-14-01,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-13-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-12-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-11-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-10-01,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-09-01,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-08-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-07-01,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-06-01,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-05-01,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-04-01,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-03-01,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-02-01,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-01-01,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-31-12,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-30-12,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-29-12,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-28-12,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-27-12,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-26-12,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-25-12,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-24-12,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-23-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-22-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-21-12,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-20-12,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-19-12,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-18-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-17-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-16-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-15-12,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-14-12,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-13-12,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-12-12,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-11-12,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-10-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-09-12,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-08-12,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-07-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-06-12,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-05-12,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-04-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-03-12,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-02-12,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-01-12,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-30-11,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-29-11,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-28-11,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-27-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-26-11,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-25-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-24-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-23-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-22-11,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-21-11,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-20-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-19-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-18-11,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-17-11,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-16-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-15-11,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-14-11,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-13-11,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-12-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-11-11,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-10-11,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-09-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-08-11,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-07-11,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-06-11,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-05-11,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-04-11,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-03-11,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-02-11,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-01-11,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-31-10,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-30-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-29-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-28-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-27-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-26-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-25-10,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-24-10,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-23-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-22-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-21-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-20-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-19-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-18-10,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-17-10,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-16-10,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-15-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-14-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-13-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-12-10,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-11-10,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-10-10,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-09-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-08-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-07-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-06-10,0.37
