Município1,Código Município IBGE,População estimada (2020),UF1,day.of.week,date,Média de Índice De Isolamento..
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-05-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-04-10,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-03-10,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-02-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-01-10,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-30-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-29-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-28-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-27-09,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-26-09,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-25-09,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-24-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-23-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-22-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-21-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-20-09,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-19-09,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-18-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-17-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-16-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-15-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-14-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-13-09,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-12-09,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-11-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-10-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-09-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-08-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-07-09,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-06-09,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-05-09,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-04-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-03-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-02-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-01-09,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-31-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-30-08,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-29-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-28-08,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-27-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-26-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-25-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-24-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-23-08,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-22-08,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-21-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-20-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-19-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-18-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-17-08,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-16-08,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-15-08,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-14-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-13-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-12-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-11-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-10-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-09-08,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-08-08,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-07-08,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-06-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-05-08,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-04-08,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-03-08,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-02-08,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-01-08,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-31-07,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-30-07,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-29-07,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-28-07,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-27-07,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-26-07,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-25-07,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-24-07,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-23-07,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-22-07,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-21-07,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-20-07,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-19-07,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-18-07,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-17-07,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-16-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-15-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-14-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-13-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-12-07,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-11-07,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-10-07,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-09-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-08-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-07-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-06-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-05-07,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-04-07,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-03-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-02-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-01-07,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-30-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-29-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-28-06,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-27-06,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-26-06,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-25-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-24-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-23-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-22-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-21-06,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-20-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-19-06,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-18-06,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-17-06,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-16-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-15-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-14-06,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-13-06,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-12-06,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-11-06,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-10-06,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-09-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-08-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-07-06,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-06-06,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-05-06,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-04-06,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-03-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-02-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-01-06,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-31-05,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-30-05,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-29-05,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-28-05,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-27-05,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-26-05,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-25-05,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-24-05,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-23-05,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-22-05,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-21-05,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-20-05,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-19-05,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-18-05,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-17-05,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-16-05,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-15-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-14-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-13-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-12-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-11-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-10-05,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-09-05,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-08-05,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-07-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-06-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-05-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-04-05,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-03-05,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-02-05,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-01-05,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-30-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-29-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-28-04,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-27-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-26-04,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-25-04,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-24-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-23-04,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-22-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-21-04,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-20-04,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-19-04,0.55
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-18-04,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-17-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-16-04,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-15-04,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-14-04,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-13-04,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-12-04,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-11-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-10-04,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-09-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-08-04,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-07-04,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-06-04,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-05-04,0.55
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-04-04,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-03-04,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-02-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-01-04,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-31-03,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-30-03,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-29-03,0.57
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-28-03,0.52
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-27-03,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-26-03,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-25-03,0.51
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-24-03,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-23-03,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-22-03,0.51
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-21-03,0.52
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-20-03,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-19-03,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-18-03,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-17-03,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-13-03,0.28
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-12-03,0.26
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-11-03,0.33
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-10-03,0.33
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-09-03,0.33
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-08-03,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-07-03,0.33
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-06-03,0.31
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-05-03,0.32
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-04-03,0.33
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-03-03,0.34
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-02-03,0.33
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-01-03,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-29-02,0.34
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-27-02,0.3
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-26-02,0.34